,Time,User,Tweet,Location
0,2022-01-31 07:44:45+00:00,mrtp00,"@WakeuptimeNOW @jkenney I am fully vaxxed and boosted, have had #covid and have abided by all rules since this bega… https://t.co/Dd97cLfXkX",
1,2022-01-31 07:33:45+00:00,newsoneplace,(Express &amp; Star):#Covid two years on: #Survivors a stark reminder of the importance of jabs : It is two years since… https://t.co/YAZ5dGi1gn,
2,2022-01-31 07:32:54+00:00,DaveBladeBrown,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
3,2022-01-31 07:25:23+00:00,Dystopia84Fear,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,United Kingdom
4,2022-01-31 07:23:44+00:00,jetcat_jesus,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
5,2022-01-31 07:07:44+00:00,JayneJardine,"RT @ManorSchBrent: It is 2 years since Ofsted found us to be 'Outstanding', so our Headteacher, @TheRisePT CEO, and Chair of Trustees took…","London, England"
6,2022-01-31 06:59:34+00:00,cannolidiva,Thoughts during the #GeorgeKnapp break ..I haven’t had a professional haircut since beginning of damn #Covid… https://t.co/3UgCjwfX4n,"Desert Southwest, US"
7,2022-01-31 06:46:29+00:00,KennyS12401812,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Leicester, England"
8,2022-01-31 06:38:52+00:00,coxmatthew5,It's been two years now since the first #Covid patients started being admitted to hospital in #Newcastle.... Feels like two decades.,HERE ON EARTH... I THINK!
9,2022-01-31 06:29:56+00:00,aldhirabi,"RT @hnonoo75: Today marks one year since the renovated @BahrainAirport opened. Over the past year, I've welcomed many visitors to #Bahrain…",مملكة البحرين
10,2022-01-31 06:26:45+00:00,RyanDelongpre,"Since we locked down people in their homes they have been dying at a slower rate hence...

CHECK NOTES: 

#COVID va… https://t.co/cKhDPtELb1",Metaverse
11,2022-01-31 06:18:12+00:00,VasantK1989,RT @PsychShree: @ANI @ani_digital @AHindinews @NavbharatTimes @BBCHindi @ndtvindia @ZeeNews @CNNnews18 @DDNewsHindi Crores of ₹ with #VGNJe…,
12,2022-01-31 05:59:52+00:00,UNITEDSIKHS_AU,"RT @unitedsikhs: It was overwhelming to hear that S. Than Shah Singh has completely recovered from COVID in this Third wave. 

#UNITEDSIKHS…",Australia
13,2022-01-31 05:56:27+00:00,andrew_voisin,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,"Holguin, Cuba"
14,2022-01-31 05:50:34+00:00,bsaxton13,RT @michael99516342: @LiveNation requires a vaccine card or negative test to attend events at AZ venues.  The requirement is illogical sinc…,
15,2022-01-31 05:46:39+00:00,jackiesoftly,RT @Susanne30037521: Today a friend told me that keeping the border closed was bad for her mental health as she hadn’t seen her Mum since b…,
